Code;Country;Climate;Continent;LA;FA;OWA;FAC;PriFA;PlaFA;PlaFAC;FV;CV;MS2;MS10;FB
AFG;Afghanistan;Dry;Asia;65223;1350;29471;0;NA;NA;NA;21;NA;NA;NA;63
AGO;Angola;Tropical;Africa;124670;57856;0;-124,8;0;125;-0,6;2241;NA;NA;NA;7443
ARG;Argentina;Dry;America;273669;27112;64376;-307,2;1738;1202;17,4;2667;435;31;68;4953
AUS;Australia;Dry;Australia;768230;124751;250961;-151,6;5039;2017;39,8;NA;NA;NA;NA;NA
AUT;Austria;Temperate;Europe;8244;3869;153;3,7;114;1692;-3;1155;927;69;93;639
AZE;Azerbaijan;Dry;Asia;8266;1139;0;11,5;NA;NA;NA;149;NA;NA;NA;NA
BEN;Benin;Tropical;Africa;11062;4311;2889;-58;0;23;0,5;152;0;6;15;426
BFA;Burkina Faso;Dry;Africa;27360;5350;4795;-1,1;0;239;7,9;225;0;NA;NA;461
BGD;Bangladesh;Tropical;Asia;13017;1429;294;-2,6;411;274;1,4;86;0;26;50;177
BGR;Bulgaria;Temperate;Europe;10856;3823;22;19,8;NA;NA;0;699;315;45;94;355
BIH;Bosnia and Herzegovina;Temperate;Europe;5100;2185;549;0;2;999;0;358;135;NA;NA;190
BLR;Belarus;Cold;Europe;20748;8634;540;34,1;400;1910;15,7;1669;1116;73;100;1053
BLZ;Belize;Tropical;America;2281;1366;200;-10;599;2;0;222;NA;NA;NA;289
BOL;Bolivia;Tropical;America;108330;54764;2473;NA;36164;26;NA;4133;0;NA;NA;7426
BRA;Brazil;Tropical;America;835814;493538;39535;-2126,7;202691;7736;110,1;96745;379;NA;NA;96825
BTN;Bhutan;Temperate;Asia;3812;2755;432;9,9;413;22;0,1;510;102;48;79;455
BWA;Botswana;Dry;Africa;56673;10840;34791;-115,1;0;0;0;725;0;NA;NA;868
CAF;Central African Republic;Tropical;Africa;62298;22170;32731;-15,6;1988;2;0;3751;0;4;9;4877
CAN;Canada;Cold;America;909351;347069;40866;-48,2;205924;15784;448,2;NA;NA;NA;NA;NA
CHE;Switzerland;Temperate;Europe;4000;1254;70;4,1;40;172;0,6;442;298;62;95;241
CHL;Chile;Temperate;America;74353;17735;14645;98,9;5355;3044;53,5;3316;426;NA;NA;2487
CHN;China;Temperate;Asia;942530;208321;103637;2047,2;11632;78982;1481,3;16002;6561;16;54;10945
CIV;Cote d'Ivoire;Tropical;Africa;31800;10401;2554;NA;625;427;NA;2626;NA;NA;NA;3633
CMR;Cameroon;Tropical;Africa;47271;18816;12715;-220;NA;NA;0,5;5802;0;NA;NA;4371
COG;Congo, Rep.;Tropical;Africa;34150;22334;10479;NA;7407;71;NA;4523;NA;8;18;5880
COL;Colombia;Tropical;America;110950;58502;16352;-236,6;NA;NA;2,4;NA;NA;NA;NA;15424
CRI;Costa Rica;Tropical;America;5106;2756;8;1,1;1814;18;-39,5;696;0;NA;NA;NA
CUB;Cuba;Tropical;America;10644;3200;332;45,7;0;556;8,4;213;29;NA;NA;513
CZE;Czech Republic;Temperate;Europe;7722;2667;0;0,1;10;2643;0;791;642;76;95;657
DEU;Germany;Temperate;Europe;34861;11419;0;4,8;0;5295;-3,7;3663;2242;55;95;2053
DOM;Dominican Republic;Tropical;America;4832;1983;302;1,8;NA;119;8;119;22;NA;NA;244
DZA;Algeria;Dry;Africa;238174;1956;2569;11,6;0;556;8,9;89;30;62;74;67
ECU;Ecuador;Tropical;America;24836;12548;0;-83,3;12467;55;0,4;3013;NA;NA;NA;2382
ERI;Eritrea;Dry;Africa;10100;1510;7132;-4,4;0;39;1,2;NA;NA;NA;NA;NA
ESP;Spain;Temperate;Europe;49880;18418;9209;184,3;0;2909;34,9;1212;635;28;81;916
EST;Estonia;Cold;Europe;4239;2232;224;1;58;174;0,1;476;257;54;99;267
ETH;Ethiopia;Dry;Africa;109631;12499;40631;-104,6;0;972;19,2;251;NA;NA;NA;NA
FIN;Finland;Cold;Europe;30390;22218;801;13,7;230;6775;95,4;2320;1851;80;100;1193
FJI;Fiji;Tropical;Australia;1827;1017;97;2,6;411;154;2,5;NA;NA;NA;NA;NA
FRA;France;Temperate;Europe;54766;16989;590;102,1;0;1967;17,6;2935;1043;34;77;2224
GAB;Gabon;Tropical;Africa;25767;23000;0;40;12804;30;0;5405;0;NA;NA;5135
GBR;United Kingdom;Temperate;Europe;24193;3144;20;0,5;0;NA;0;652;396;43;84;349
GEO;Georgia;Temperate;Asia;6949;2822;7;2,8;500;72;0,7;455;124;68;97;337
GHA;Ghana;Tropical;Africa;22754;9337;0;28,4;395;325;11;378;NA;NA;NA;1171
GIN;Guinea;Tropical;Africa;24572;6364;5850;-36;63;104;1,8;492;NA;NA;NA;970
GNB;Guinea-Bissau;Tropical;Africa;2812;1972;224;-9,8;0;1;0;59;NA;19;46;165
GNQ;Equatorial Guinea;Tropical;Africa;2805;1568;9;-0,7;0;0;0;258;0;39;89;335
GRC;Greece;Temperate;Europe;12890;4054;2492;30,2;0;140;0,9;193;83;NA;NA;137
GTM;Guatemala;Tropical;America;10716;3540;1334;-48,3;1334;185;5,4;461;49;NA;NA;439
GUF;French Guiana;Tropical;America;8242;8130;0;0;7813;1;0;2846;0;NA;NA;2846
GUY;Guyana;Tropical;America;19685;16526;1795;-5,4;6477;0;0;2991;0;NA;NA;7800
HND;Honduras;Tropical;America;11189;4592;1619;-141,8;457;0;0;556;154;NA;NA;500
HRV;Croatia;Temperate;Europe;5596;1922;569;2,9;7;75;-0,7;415;54;48;86;417
HUN;Hungary;Temperate;Europe;9127;2069;121;10,7;0;1652;8;377;55;25;84;204
IDN;Indonesia;Tropical;Asia;171857;91010;26748;-1101,4;46024;4946;0;10227;0;55;88;18777
IND;India;Tropical;Asia;297319;70682;4124;269,7;15701;12031;252,6;5167;517;14;26;3100
IRN;Iran;Dry;Asia;184806;10692;3627;NA;200;941;NA;394;39;65;96;276
ITA;Italy;Temperate;Europe;29414;9297;1813;68,3;93;639;3,7;1385;544;35;75;1028
JPN;Japan;Temperate;Asia;36450;24958;0;0,3;4905;10270;-0,7;NA;NA;49;70;NA
KAZ;Kazakhstan;Cold;Asia;269970;3309;16479;-4,5;0;901;-5,3;364;239;51;100;211
KEN;Kenya;Dry;Africa;56914;4413;9365;-12,4;0;220;2,3;836;62;7;7;1086
KHM;Cambodia;Tropical;Asia;17652;9457;133;-139,5;322;69;0,1;893;NA;NA;NA;590
KOR;Korea, Rep.;Temperate;Asia;9710;6184;0;NA;3460;1866;NA;918;552;52;77;649
LAO;Lao PDR;Tropical;Asia;23080;18761;2846;NA;1194;113;NA;920;9;21;38;1886
LBR;Liberia;Tropical;Africa;9632;4179;0;-30;175;8;0;660;NA;NA;NA;1002
LKA;Sri Lanka;Tropical;Asia;6271;2070;52;-0,3;167;215;1;46;NA;NA;NA;128
LTU;Lithuania;Cold;Europe;6268;2180;104;9,4;26;570;6,4;515;301;58;99;271
LVA;Latvia;Cold;Europe;6220;3356;112;7,3;16;612;-4,5;665;356;61;100;432
MAR;Morocco;Dry;Africa;44630;5632;580;27,1;0;706;9,1;154;52;55;94;367
MDG;Madagascar;Temperate;Africa;58154;12473;14466;-48,8;2993;312;3,2;2133;NA;8;21;2773
MEX;Mexico;Dry;America;194395;66040;19715;-148,8;33056;87;3,4;4727;1870;10;30;3364
MLI;Mali;Dry;Africa;122019;4715;19406;-79;0;135;5,2;93;0;NA;NA;177
MMR;Myanmar;Tropical;Asia;65755;29041;15080;-407,1;3192;944;22;1342;NA;15;42;2751
MNG;Mongolia;Cold;Asia;155356;12553;5125;0,7;12552;1;0;1406;1309;NA;NA;NA
MOZ;Mozambique;Tropical;Africa;78638;37940;14421;-217,5;0;75;1,5;1377;NA;NA;NA;2614
MWI;Malawi;Temperate;Africa;9428;3147;0;-30;845;419;11,5;345;NA;NA;NA;240
MYS;Malaysia;Tropical;Asia;32855;22195;0;-7,2;5041;1966;0,4;5034;0;26;74;4782
NAM;Namibia;Dry;Africa;82329;6919;8107;-73,7;0;0;0;166;NA;NA;NA;334
NER;Niger;Dry;Africa;126670;1142;3140;-32,1;220;150;4,1;11;NA;NA;NA;57
NGA;Nigeria;Tropical;Africa;91077;6993;2681;-409,6;20;420;6,8;936;0;NA;NA;1462
NIC;Nicaragua;Tropical;America;12034;3114;2219;-56;1234;48;0;482;14;9;23;599
NOR;Norway;Cold;Europe;30427;12112;2012;-0,8;160;1529;17,6;1157;841;71;96;744
NPL;Nepal;Temperate;Asia;14335;3636;1897;-47,2;526;43;0,1;647;NA;37;69;718
NZL;New Zealand;Temperate;Australia;26331;10152;1060;0;2160;2087;0;3975;1131;28;63;2233
PAK;Pakistan;Dry;Asia;77088;1472;1521;-42,2;0;362;5,1;135;113;53;100;272
PAN;Panama;Tropical;America;7434;4617;532;-16,9;0;80;2,7;751;0;NA;NA;976
PER;Peru;Tropical;America;128000;73973;9403;-157,9;65790;1157;35,8;8891;NA;NA;NA;16004
PHL;Philippines;Tropical;Asia;29817;8040;7036;59,4;861;1245;37,8;1298;28;23;58;1160
PNG;Papua New Guinea;Tropical;Australia;46312;33559;4087;-2,8;17599;0;0;5195;0;NA;NA;10068
POL;Poland;Temperate;Europe;30622;9435;0;22,2;59;8957;17,8;2540;1751;64;96;1458
PRK;Korea, Dem. People's Rep.;Temperate;Asia;12041;5031;0;NA;701;704;NA;319;170;NA;NA;236
PRT;Portugal;Temperate;Europe;9026;3182;1725;-10,2;24;891;0;NA;NA;NA;NA;NA
PRY;Paraguay;Tropical;America;39730;15323;0;-233,4;1884;98;3;NA;NA;NA;NA;NA
ROM;Romania;Cold;Europe;23002;6861;90;19,6;283;569;1,6;1930;609;64;87;1102
RUS;Russian Federation;Cold;Asia;1637687;814931;74925;0;272718;19841;0,2;81488;57536;49;99;52400
SDN;Sudan;Dry;Africa;186665;19210;20677;-174,4;1345;6121;27,9;1378;NA;2;4;3280
SEN;Senegal;Dry;Africa;19253;8273;5250;-43;1508;561;14,2;308;0;21;54;540
SLB;Solomon Islands;Tropical;Australia;2799;2185;129;-0,3;1105;27;0;208;NA;NA;NA;308
SLE;Sierra Leone;Tropical;Africa;7162;3044;200;2,2;85;16;2,5;121;NA;NA;NA;357
SOM;Somalia;Dry;Africa;62734;6363;0;-76,8;0;3;0;159;109;NA;NA;634
SRB;Serbia;Temperate;Europe;8746;2720;508;16,3;1;215;7;418;48;52;83;394
SSD;South Sudan;Tropical;Africa;63173;7157;32582;0;NA;NA;NA;NA;NA;NA;NA;NA
SUR;Suriname;Tropical;America;16066;15332;0;-3,9;14019;13;0;3816;0;17;36;3625
SVK;Slovak Republic;Cold;Europe;4809;1940;0;NA;24;960;NA;532;240;64;99;362
SVN;Slovenia;Temperate;Europe;2014;1248;23;2,4;49;34;0;432;197;62;90;244
SWE;Sweden;Cold;Europe;41034;28073;2432;0,4;2417;13737;253,5;2989;2481;83;99;1671
TCD;Chad;Dry;Africa;125920;4875;19563;-73,2;NA;NA;0,3;89;NA;NA;NA;446
THA;Thailand;Tropical;Asia;51089;16399;0;95,8;6726;3986;52,7;1506;NA;NA;NA;1447
TKM;Turkmenistan;Dry;Asia;46993;4127;0;0;104;0;0;15;NA;64;77;18
TUN;Tunisia;Dry;Africa;15536;1041;293;15,9;0;725;17,3;27;17;63;84;15
TUR;Turkey;Dry;Asia;76963;11715;10130;83,7;913;3386;75,6;1506;991;46;98;1284
TZA;Tanzania;Tropical;Africa;88580;46060;7984;NA;0;290;NA;3333;572;18;28;9332
UGA;Uganda;Tropical;Africa;19981;2077;2879;-107;0;60;1;92;5;NA;NA;128
UKR;Ukraine;Cold;Europe;57938;9657;26;15,3;59;4860;8,9;2196;1086;60;97;1267
URY;Uruguay;Temperate;America;17502;1845;4;41,9;313;1062;34,4;131;2;NA;NA;NA
USA;United States;Temperate;America;916192;310095;21279;NA;75300;26364;NA;40699;23282;20;45;28933
UZB;Uzbekistan;Dry;Asia;44066;3220;115;7;73;802;23,9;55;15;83;91;62
VEN;Venezuela;Tropical;America;88205;46683;7847;NA;45746;557;NA;NA;NA;NA;NA;NA
VNM;Vietnam;Tropical;Asia;31007;14773;456;NA;83;3663;NA;878;NA;5;20;1710
ZAF;South Africa;Dry;Africa;121447;9241;24558;0;947;1763;0;670;NA;14;27;1358
ZAR;Congo, Dem. Rep.;Tropical;Africa;226705;152578;11513;NA;102686;60;NA;35115;NA;NA;NA;33359
ZMB;Zambia;Temperate;Africa;74339;48635;6108;-166,6;0;64;0,2;2709;NA;22;65;4145
ZWE;Zimbabwe;Temperate;Africa;38685;14062;NA;-324,1;801;87;-2,7;540;7;40;45;200
